Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
discussionSummary,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
discussionSummary[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
discussionSummary[0].courseName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
discussionSummary[0].link,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
discussionSummary[0].newPosts,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
discussionSummary[0].replies,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary[0].courseId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary[0].courseName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary[0].coursePk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary[0].link,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary[0].newPosts,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.discussionSummary[0].replies,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.totalPosts,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
totalPosts,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
