Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].courseName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].students,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
[0].students[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].students[0].dropDate,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].students[0].firstName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].students[0].lastName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.courses,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].courseId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].courseName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].coursePk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners[0].droppedOutDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners[0].emailId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners[0].employeeID,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners[0].firstName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners[0].lastName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.courses[0].learners[0].learnerPk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
