Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,Yes,Yes,string,object,"Type mismatch: SAAS has string, Legacy has object",
message.notifications,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.notificationsTotalLength,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationActive,No,Yes,,boolean,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationEnd,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationLinkText,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationLinkUrl,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationMessage,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationRemoved,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationStart,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationTitle,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.notifications[0].notificationType,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
