Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.messageSummary,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.messageSummary[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.messageSummary[0].courseId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.messageSummary[0].courseName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.messageSummary[0].coursePk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.messageSummary[0].link,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.messageSummary[0].unreadMessages,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.totalUnreadMessages,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
messageSummary,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
messageSummary[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
messageSummary[0].courseName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
messageSummary[0].link,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
messageSummary[0].newPosts,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
messageSummary[0].replies,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
totalUnreadMessages,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
