Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].activeExtension,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].activityScore,Yes,No,float,,Field only exists in SAAS - new feature or additional data,
[0].activityScoreBand,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].activityScoreTrend,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].ada,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].advisor,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].advisorEmail,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].advisorPhone,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].alerts,Yes,No,array of string,,Field only exists in SAAS - new feature or additional data,
[0].alertsCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].alerts[0],Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].censusDt,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].city,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].courseCategory,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].courseName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].coursePk,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].courseSisId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].courseStartDate,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].courseTextNumber,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].csEngDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].currentMilestone,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].daysToDrop,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].dropDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].email,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].endDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].enrolledDays,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].enrollmentDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].facultyId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].firstName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].firstTerm,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].futureDropDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].grade,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].gradeFinal,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].gradeMidterm,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].hasMilestones,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].isActiveCourse,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].isCourseStarted,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].isJWMI,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].lastAcadEngDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].lastAccessDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].lastAssessmentDt,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].lastEngDiff,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].lastName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].lastOutreachDt,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].learnerId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].letterGrade,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].nsoNotComplete,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].nsoOutreachDt,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].numDays,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].oeeInd,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].outreachCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].outreachCountToday,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].overdue50Count,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].overdueCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].phone,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].phoneType,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].priorityPilotGroup,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].priorityRiskLevel,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].priorityScore,Yes,No,float,,Field only exists in SAAS - new feature or additional data,
[0].regBlocker,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].retake,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].role,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].startDt,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].state,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].studentHash,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].submittedAssignments,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].suppressEngFlag,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].systemTags,Yes,No,array (empty),,Field only exists in SAAS - new feature or additional data,
