Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
activityScore,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
activityScoreDist,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0].activityDesc,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0].count,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0].percent,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
avgGrade,Yes,No,float,,Field only exists in SAAS - new feature or additional data,
droppedCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
missing,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
priorityFlagCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
sectionActivityScore,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
sectionActivityScore[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
sectionActivityScore[0].activityScore,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
sectionActivityScore[0].week,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
sectionComparison,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
sectionName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
studentCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
